GenreCorrected,Count
romance|drama|social,1
romance|drama|social|comedy,1
romance|drama|thriller,1
romance|erotica,1
romance|familydrama,1
romance|fantasy,3
romance|fantasy|comedy,1
romance|fantasy|musical,1
romance|horror|thriller,1
romance|musical,4
romance|road_movie,1
romance|science_fiction,1
romance|science_fiction|thriller,1
romance|social,1
romance|sport,1
romance|suspense,2
romance|teen,1
romance|thriller,40
romance|thrillerdrama,1
romance|thriller|drama,1
romance|tragerdy|drama,1
romance|trilogy,1
romance|war,3
romance|worldwaridrama,1
romance|wuxia,1
romancticcomedy,1
romancticdrama,1
romcom,4
romcom|action|thriller,1
satire,8
satiredrama,1
satire|comedy,1
satire|comedy|teen ,1
satire|drama,4
satire|thriller,1
satiricalcomedy,4
school|action|drama,1
school|sport,1
science_fiction,658
science_fictionaction,2
science_fictionaction|adventure,1
science_fictionaction|comedy,1
science_fictionadventure,1
science_fictionanimation,4
science_fictionchildren,3
science_fictiondrama,5
science_fictiondramasupernatural,1
science_fictionexploitation,1
science_fictionfantasy,3
science_fictionlgbtrelateddrama,1
science_fictionmystery,2
science_fictionpsychologicalthriller,2
science_fictionromance,1
science_fictionromance|thriller,1
science_fictionthriller,3
science_fictionwestern,1
science_fiction|action,8
science_fiction|action|adventure,1
science_fiction|action|spy,1
science_fiction|action|thriller,1
science_fiction|adventure,1
science_fiction|adventure|drama|action,1
science_fiction|adventure|romance,1
science_fiction|animation,2
science_fiction|animation|adventure,1
science_fiction|animation|comedy,1
science_fiction|comedy,31
science_fiction|comedy|drama,1
science_fiction|crime|thriller,1
science_fiction|drama,7
science_fiction|drama|thriller,1
science_fiction|family,1
science_fiction|fantasy,2
science_fiction|fantasy|action,1
science_fiction|horror,16
science_fiction|musical,2
science_fiction|mystery,3
science_fiction|romance,1
science_fiction|romance|thriller,1
science_fiction|teen,1
science_fiction|thriller,9
science_fiction|time travel,1
screwballcomedy,11
semistaged documentary,1
serial,71
sexcomedy,13
sexcomedy|drama,1
sexploitation,8
sexual hygiene|exploitation ,1
sexualdrama,1
sexual|romance|comedy,1
sex|drama,1
sf,1
shakespearean,5
shakespeareandrama,2
short,37
shortaction|crimewestern,1
shortcomedy,5
shortdocumentary,1
shortdrama,4
shortfantasy,1
shortmystery,1
shortsubject,19
short|drama|mystery (3min),1
siddhh narayan|charmme|sada,1
siddhh|genelia d'souza|prakash raj|jayasudha,1
silent hills studio,1
silent sport,1
sivaji|krishna bhagavaan|ali,1
slahser,1
slapstick,12
slapstickcomedy,2
slasher,12
slasher ,4
social,83
socialaction,1
socialbiography,1
socialchildren,1
socialchildren|drama,1
socialcomedy,1
socialcrime,2
socialcrime|drama,1
socialdrama,40
socialdramaromance,1
socialdrama|comedy,1
socialfamily,3
socialfamilydrama,14
socialfamilyromance,1
socialromance,3
socialromancedrama,1
socialromancemusical,1
socialromance|drama,1
socialsatire,2
socialsatiredrama,1
socialscience_fictionaction,1
socialthriller,2
social|action,1
social|adult,1
social|comedy,1
social|drama,2
social|drama|history,1
social|romance,1
social|thriller,1
social|war|action,1
sociofantasy,4
sociofantasy|comedy,2
sociopolitical,2
south african western,1
space opera,1
splatter,1
splattercomedy,1
spoof,1
sport,26
sport(road_movie bicycle racing),1
sport(shogi|chess)|comedy|drama,2
sportbiography,1
sportcomedy,6
sportdrama,21
sport|comedy,5
sport|drama,5
sport|family,1
sport|social,1
spy,34
spyaction,1
spyanthology,1
spycomedy,6
spycomedy|thriller,2
spydrama,7
spyserial,2
spyspoof,1
spy|action,19
spy|action|comedy,1
spy|action|james bond,1
spy|comedy,5
spy|drama,1
spy|mystery,1
spy|thriller,6
spy|worldwari,1
srikanth|bhavana,1
srikanth|rajendra prasad|sindhu tolani,1
srikanth|venu madhav|ali,1
stoner ,1
stopmotionanimation,1
stopmotionanimationproduced with the national  board andwarner home video,1
student ,1
stylish,1
suhasini|sharwanand|shriya reddy,1
sumanth|charmme,1
sumanth|kamalinee mukherjee,1
summer campcomedy,1
sunil|i agarwal,1
super hit movie,2
superhero,60
superheroaction|adventure,3
superherocomedy,1
superherodrama,1
superherodramaset  years ago in the canadian arctic,1
superherohistory,1
superherowestern,1
superhero|action,3
superhero|action|adventure|fantasy|drama|war,1
superhero|action|adventure|fantasy|science_fiction,1
superhero|action|adventure|fantasy|science_fiction|comedy,1
superhero|biography,2
superhero|biography|romance|drama,1
superhero|comedy,1
superhero|comedy|adventure|science_fiction,1
superhero|history,1
superhero|patriotism,1
superhero|science_fiction,1
superhero|tokusatsu,1
superhero|western,1
supernatural,4
supernaturalaction,1
supernaturalcomedy,2
supernaturalthriller,5
supernatural|action|animation,3
surf|thriller,1
surrealcomedy,1
surrealdrama,1
survival,1
suspense,104
suspense romance,1
suspenseaction|horror,1
suspensethriller,8
suspense|comedy,1
suspense|crime,1
suspense|drama,1
suspense|thriller,10
swashbuckler,10
swashbuckling musicalromance,1
sword,4
tapas paul|debashree roy,1
teen,2
teen|comedy,2
televisiondrama,1
thai drama,1
thriller,996
thrilleraction,1
thrilleraction|romance,1
thrillercomedy,2
thrillerdrama,9
thrillerroad_movie,1
thrillerromance,3
thriller|action,4
thriller|action|drama,1
thriller|action|romance,1
thriller|action|romance|musical,1
thriller|adventure,1
thriller|animation,1
thriller|comedy,4
thriller|comedy|mystery,1
thriller|crime,3
thriller|drama,13
thriller|drama|mystery,1
thriller|drama|science_fiction,1
thriller|fantasy,3
thriller|horror,6
thriller|musical,1
thriller|mystery,4
thriller|mystery|romance,1
thriller|romance,6
thriller|romance|musical,1
thriller|science_fiction|action,1
thriller|social,1
thriller|spy,1
thriller|suspense,1
thriller|suspense|crime,1
thriller|western,2
timetravellingcomedy,1
tokusatsu,28
tokusatsu vcinema,1
tokusatsu|action|science_fiction,5
tokusatsu|action|science_fiction|spy|superhero,1
tragiccomedy,1
travel,1
triad,1
tv miniseries,1
tv miniseries|docudrama,1
uday kiran|vimala raman,1
united ists biography,1
unknown,6083
usa,1
usa|can,1
vampire ,1
vampire|horror,1
viacom 8 motion pictures,1
vigilante|action|thriller,1
war,350
waraction,1
warbiography,1
warcomedy,15
wardocumentary,2
wardrama,1
wardramadocumentary,1
warfamilydrama,1
warpropaganda,1
warromance,2
warshort,1
warspy,1
war|action,3
war|adventure,2
war|biker,1
war|biography,4
war|comedy,4
war|drama,90
war|dramapropaganda,1
war|drama|action|romance,1
war|drama|history,1
war|history,2
war|horror,1
war|pow,4
war|romance,3
war|satire,1
war|science_fiction,1
war|spy,2
war|thriller,1
war|western,1
western,868
westerncomedy,16
westerndrama,3
westernmusical,1
westernromance,1
westernserial,2
westernthriller,1
western|animation,1
western|biography,7
western|comedy,12
western|drama,1
western|horror,2
western|musical,3
western|mystery,1
western|noir,1
western|romance,2
western|romance|drama,1
western|serial,2
western|war,2
wime romancedrama,1
wimedrama,1
worldwari,6
worldwaridrama,1
wuxia,9
wuxia|comedy,2
wuxia|history|romance,1
wuxia|romance,1
ww propaganda,1
wwiidrama,1
yakuza,4
yakuza ,1
yash dasgupta|mimi chakraborty,1
yash raj s,2
yeh saali zindagi,1
yogesh dattatraya gosavi's directorial debut [9],1
youth,1
youth musicaldrama,1
youthdrama,1
youth|romance,1
yuen laikei,1
zombiecomedy,2
zombiehorror,2
|,1
|action,7
|action|adventure,1
|action|biography,1
|action|biography|history,1
|action|comedy,2
|action|comedy|prison,1
|action|drama,2
|action|fantasy,1
|action|romance|comedy,1
|action|thriller,1
|action|war|history,1
|action|wuxia,1
|comedy,3
|crime,1
|horror|comedy,1
|suspense|romance,1
|thriller,1
||action,1
||||,1
