GenreCorrected,Count
anthology|horror,3
anthology|horror|comedy,1
avantgarde,2
avantgarde|drama,2
avantgarde|horror,2
biblical,4
biblicaldrama,5
biker,7
bikerdrama,1
biography,229
biographywar,1
biography|action|comedy|crime|drama|history|thriller,1
biography|comedy,3
biography|comedy|drama,3
biography|crime,9
biography|crime|drama,3
biography|documentary,1
biography|drama,65
biography|drama|history|thriller,1
biography|drama|musical,1
biography|drama|romance,1
biography|drama|thriller,1
biography|history,2
biography|history|drama,1
biography|horror,1
biography|musical,6
biography|musical|drama,1
biography|political|drama,1
biography|romance|comedy,1
biography|social,1
biography|sport,5
biography|sport|comedy|drama,1
biography|thriller,1
biography|war,5
biography|war|drama,2
biography|western,1
biogtaphy|crime|drama,1
children,16
children|adventure,1
children|animation,1
children|drama,3
children|science_fiction,1
comedy,4534
comedy|,2
comedy|action,34
comedy|action|adventure,2
comedy|action|animation|fantasy,1
comedy|action|crime,1
comedy|action|drama,1
comedy|action|fantasy,3
comedy|action|horror,1
comedy|action|mystery|adventure,1
comedy|action|mystery|crime,1
comedy|action|science_fiction|animation,1
comedy|adult,1
comedy|adult|comedy,1
comedy|adventure,7
comedy|animation|adventure,1
comedy|animation|family|adventure,1
comedy|animation|fantasy,1
comedy|anthology,1
comedy|biography,7
comedy|comedy|comedy,1
comedy|crime,49
comedy|crime|drama,1
comedy|crime|drama|thriller,1
comedy|crime|romance,2
comedy|crime|thriller,1
comedy|documentary,1
comedy|drama,585
comedy|dramaanimation,1
comedy|drama|action,1
comedy|drama|crime,2
comedy|drama|crime|thriller,1
comedy|drama|family,6
comedy|drama|fantasy,3
comedy|drama|horror,1
comedy|drama|horror|mystery|thriller,1
comedy|drama|musical,5
comedy|drama|romance,19
comedy|drama|romance|comedy|youth|science_fantasy,2
comedy|drama|romance|family,2
comedy|drama|romance|musical,1
comedy|drama|science_fiction,4
comedy|drama|sport,1
comedy|drama|teen,2
comedy|drama|thriller,3
comedy|drama|war,1
comedy|erotic,1
comedy|family,39
