ID,Words
0,1
0,smashing in breaking saloon before drinks inside stereotypically then he sprays beer fills seltzer assault burst they appear nation's wrecking everybody hat policemen carrie order after pulling man customers a eyes dumping register of water group fixtures cash at bucket serving leave bartender her working with mirrors irish head begin bar is his man's the over to nation followers face and
0,1
1,frown drinks he railing assault perched nation's down tree carrie moon's smile a dumping of bench bucket working smiles head is his the nation and smashing in bigger breaking saloon last then learn seltzer causing appear night wrecking hat after left customers eyes register smiling on woman fixtures at young bartender by with couple shoulder man's painted followers hangs embrace before walking beer fills past everybody up policemen order man sky everything scene see cash leave her mirrors irish over park sit better inside stereotypically sprays has because moon burst they look pulling blocked water group view fence him serving begin bar to gets fans face
